tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0279895,movie,My Best Friend,O kalyteros mou filos,0,2001,\N,104,Comedy,5.2,1170
tt0279901,movie,A Fugitive from the Past,Kiga kaikyô,0,1965,\N,183,"Crime,Drama,Mystery",7.9,1315
tt0279977,movie,The Navigators,The Navigators,0,2001,\N,96,"Comedy,Drama",7.0,3126
tt0279983,movie,Nereye Bakiyor Bu Adamlar,Nereye Bakiyor Bu Adamlar,0,1976,\N,88,Comedy,7.1,1901
tt0280015,movie,Violet Perfume: Nobody Hears You,Nadie te oye. Perfume de violetas,0,2001,\N,90,Drama,7.1,1689
tt0280030,movie,Return to Never Land,Return to Never Land,0,2002,\N,72,"Adventure,Animation,Family",5.8,22203
tt0280380,movie,Trapped,Trapped,0,2002,\N,106,"Action,Crime,Drama",6.1,25970
tt0280381,movie,25 Watts,25 Watts,0,2001,\N,92,"Comedy,Drama",7.1,1693
tt0280424,movie,Amy's Orgasm,Amy's Orgasm,0,2001,\N,87,"Comedy,Romance",5.3,1895
tt0280438,movie,Ash Wednesday,Ash Wednesday,0,2002,\N,99,"Crime,Drama",5.8,3166
tt0280460,movie,The Banger Sisters,The Banger Sisters,0,2002,\N,98,"Comedy,Drama",5.7,17374
tt0280462,movie,The Barber,The Barber,0,2002,\N,94,"Crime,Horror,Mystery",5.7,1349
tt0280477,movie,Better Luck Tomorrow,Better Luck Tomorrow,0,2002,\N,101,"Crime,Drama,Romance",7.0,10502
tt0280486,movie,Bad Company,Bad Company,0,2002,\N,116,"Action,Comedy,Thriller",5.6,50241
tt0280490,movie,The Hard Word,The Hard Word,0,2002,\N,102,"Action,Comedy,Crime",6.0,3882
tt0280491,movie,Bloody Sunday,Bloody Sunday,0,2002,\N,111,"Drama,History,War",7.6,25814
tt0280590,movie,Mr. Deeds,Mr. Deeds,0,2002,\N,96,"Comedy,Romance",5.8,153239
tt0280599,movie,Devadoothan,Devadoothan,0,2000,\N,158,"Drama,Horror,Musical",7.6,1183
tt0280605,movie,Dirty Deeds,Dirty Deeds,0,2002,\N,110,"Comedy,Crime",6.2,3435
tt0280609,movie,Dog Soldiers,Dog Soldiers,0,2002,\N,105,"Action,Horror,Thriller",6.8,65951
tt0280653,movie,Amen.,Amen.,0,2002,\N,132,"Biography,Crime,Drama",7.2,15017
tt0280665,movie,Femme Fatale,Femme Fatale,0,2002,\N,114,"Crime,Drama,Mystery",6.2,37779
tt0280674,movie,The First $20 Million Is Always the Hardest,The First $20 Million Is Always the Hardest,0,2002,\N,105,Comedy,5.5,3254
