tconst,directors,writers
tt0107846,nm0074719,"nm0803711,nm0883908,nm0074719,nm0180260"
tt0107863,nm0005522,"nm0724784,nm0769123"
tt0107870,"nm0051649,nm0023929","nm0903001,nm0837166,nm0326277,nm0205157"
tt0107875,nm0350758,"nm0529151,nm0531726"
tt0107877,nm0797854,nm0018358
tt0107889,nm0911486,"nm0911486,nm0490061"
tt0107894,nm0726472,"nm0693461,nm0693933"
tt0107920,nm0516360,nm0020653
tt0107927,nm0611683,"nm0522857,nm0204030,nm0651758"
tt0107930,nm0000635,"nm0000635,nm0730000,nm0743916,nm0684409"
tt0107943,nm0412465,"nm0410958,nm0695609"
tt0107953,nm0951206,nm0003587
tt0107969,nm0442241,"nm0000341,nm0442241,nm0045660"
tt0107977,nm0000316,"nm0788526,nm0151362,nm0000316"
tt0107978,nm0215269,"nm0627159,nm0591160,nm0588340,nm0215269"
tt0107979,nm0051649,"nm0023929,nm0056514"
tt0107983,nm0575389,nm0377088
tt0107985,nm0827663,nm0363958
tt0107986,nm0442479,nm0015287
tt0107989,nm0019242,"nm0803711,nm0883908,nm0180260"
tt0107999,nm0166625,"nm0226889,nm0859241"
tt0108000,nm0638033,"nm0000807,nm0638033"
tt0108002,nm0000770,nm0686233
tt0108026,nm0006853,nm0450361
tt0108037,nm0262693,"nm0262693,nm0348363"
tt0108045,nm0003085,nm0739960
tt0108052,nm0000229,"nm0447745,nm0001873"
tt0108053,nm0125367,"nm0125367,nm0734585"
tt0108065,nm0001873,"nm0906659,nm0001873"
tt0108069,nm0097529,nm0097529
tt0108071,nm0002140,"nm0122364,nm0003031"
tt0108074,nm0311508,"nm0149222,nm0311508"
tt0108101,nm0000277,nm0629933
tt0108122,nm0000265,"nm0142577,nm0000265,nm3004592"
tt0108135,nm0001731,nm0001731
tt0108137,nm0851288,"nm0851288,nm0827064,nm0593315"
tt0108147,nm0004886,"nm0650561,nm0189979,nm0556789,nm0397411"
tt0108148,nm0950759,"nm0848826,nm0490622,nm0849283,nm0007139"
tt0108149,nm0770961,nm0345359
tt0108154,nm0104745,"nm7364769,nm0104745,nm0394870,nm1778850"
